Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Cores,Failed
"bn-human-Jung2015_M87126525",64,5,18839568,0.03,0.037,2.015,8104200,96,0
"bn-human-Jung2015_M87126525",8,5,3716953,0.03,0.024,2.254,8200656,96,0
"bn-human-Jung2015_M87126525",91,5,23408683,0.03,0.045,3.041,8091104,96,0
"bn-human-Jung2015_M87128519_1",1000,1,98176135,0.03,0.458,5.295,11094336,96,0
"bn-human-Jung2015_M87128519_1",128,1,44335436,0.03,0.081,3.379,9450124,96,0
"bn-human-Jung2015_M87128519_1",30000,1,159446503,0.03,3.805,80.145,42901264,96,0
"bn-human-Jung2015_M87128519_1",37,1,21666797,0.03,0.033,3.307,9360448,96,0
"bn-human-Jung2015_M87128519_1",64,1,30075292,0.03,0.038,3.403,9388560,96,0
"bn-human-Jung2015_M87128519_1",8,1,8614772,0.03,0.03,3.302,9474456,96,0
"bn-human-Jung2015_M87128519_1",91,1,36841697,0.03,0.045,2.601,9410748,96,0
"bn-human-Jung2015_M87128519_1",1000,2,98515475,0.03,0.331,5.33,11068144,96,0
"bn-human-Jung2015_M87128519_1",128,2,43703308,0.03,0.042,2.633,9451044,96,0
"bn-human-Jung2015_M87128519_1",30000,2,159450468,0.03,3.805,79.78,43951580,96,0
"bn-human-Jung2015_M87128519_1",37,2,21110416,0.03,0.039,2.687,9372144,96,0
"bn-human-Jung2015_M87128519_1",64,2,30532761,0.03,0.043,3.018,9397876,96,0
"bn-human-Jung2015_M87128519_1",8,2,8843826,0.03,0.03,3.06,9498788,96,0
"bn-human-Jung2015_M87128519_1",91,2,36677685,0.03,0.043,3.48,9417920,96,0
"bn-human-Jung2015_M87128519_1",1000,3,97898474,0.03,0.708,5.076,11072288,96,0
"bn-human-Jung2015_M87128519_1",128,3,44285671,0.03,0.051,2.659,9471748,96,0
"bn-human-Jung2015_M87128519_1",30000,3,159449786,0.03,3.805,80.787,44005888,96,0
"bn-human-Jung2015_M87128519_1",37,3,21527348,0.03,0.039,2.249,9363156,96,0
"bn-human-Jung2015_M87128519_1",64,3,30725414,0.03,0.041,2.371,9392924,96,0
"bn-human-Jung2015_M87128519_1",8,3,8850221,0.03,0.031,2.496,9487736,96,0
"bn-human-Jung2015_M87128519_1",91,3,37077499,0.03,0.058,2.618,9414928,96,0
"bn-human-Jung2015_M87128519_1",1000,4,98487665,0.03,0.289,4.832,11076280,96,0
"bn-human-Jung2015_M87128519_1",128,4,44237015,0.03,0.054,2.952,9466556,96,0
"bn-human-Jung2015_M87128519_1",30000,4,159449941,0.03,3.805,80.877,43850044,96,0
"bn-human-Jung2015_M87128519_1",37,4,22167558,0.03,0.032,2.551,9367056,96,0
"bn-human-Jung2015_M87128519_1",64,4,30924161,0.03,0.063,2.63,9395052,96,0
"bn-human-Jung2015_M87128519_1",8,4,8555225,0.03,0.027,2.858,9478752,96,0
"bn-human-Jung2015_M87128519_1",91,4,36636357,0.03,0.053,2.691,9410532,96,0
"bn-human-Jung2015_M87128519_1",1000,5,98161785,0.03,0.526,4.983,11060452,96,0
"bn-human-Jung2015_M87128519_1",128,5,43661269,0.03,0.052,2.942,9449588,96,0
"bn-human-Jung2015_M87128519_1",30000,5,159449831,0.03,3.805,79.582,44039364,96,0
"bn-human-Jung2015_M87128519_1",37,5,21976865,0.03,0.034,2.442,9369284,96,0
"bn-human-Jung2015_M87128519_1",64,5,29862361,0.03,0.047,2.618,9397088,96,0
"bn-human-Jung2015_M87128519_1",8,5,8787136,0.03,0.03,2.132,9479460,96,0
"bn-human-Jung2015_M87128519_1",91,5,37022110,0.03,0.042,2.595,9408344,96,0
"boneS10",1000,1,3625144,0.03,0.054,0.784,1561072,96,0
"boneS10",128,1,973449,0.03,0.034,0.45,1316848,96,0
"boneS10",30000,1,17182554,0.03,3.656,15.299,7051464,96,0
"boneS10",37,1,430372,0.03,0.031,0.216,1292172,96,0
"boneS10",64,1,614606,0.03,0.031,0.221,1316748,96,0
"boneS10",8,1,161478,0.03,0.005,0.211,1295244,96,0
"boneS10",91,1,779634,0.03,0.032,0.229,1316744,96,0
"boneS10",1000,2,3627148,0.03,0.059,0.427,1561644,96,0
"boneS10",128,2,976984,0.03,0.034,0.235,1317340,96,0
"boneS10",30000,2,17183512,0.03,3.722,15.538,7041752,96,0
"boneS10",37,2,432230,0.03,0.03,0.214,1292168,96,0
"boneS10",64,2,612922,0.03,0.031,0.469,1315260,96,0
"boneS10",8,2,168840,0.03,0.004,0.526,1293792,96,0
"boneS10",91,2,770882,0.03,0.033,1.334,1312336,96,0
"boneS10",1000,3,3632283,0.03,0.064,0.431,1564044,96,0
"boneS10",128,3,972018,0.03,0.033,0.235,1318280,96,0
"boneS10",30000,3,17181666,0.03,3.722,15.289,6909840,96,0
"boneS10",37,3,443355,0.03,0.03,0.213,1302920,96,0
"boneS10",64,3,629341,0.03,0.031,0.221,1313668,96,0
"boneS10",8,3,172233,0.03,0.005,0.208,1290632,96,0
"boneS10",91,3,783179,0.03,0.034,0.245,1318280,96,0
"boneS10",1000,4,3615783,0.03,0.053,0.431,1560972,96,0
"boneS10",128,4,966891,0.03,0.034,0.232,1319820,96,0
"boneS10",30000,4,17183566,0.03,3.722,15.325,7080788,96,0
"boneS10",37,4,414803,0.03,0.031,0.214,1301384,96,0
"boneS10",64,4,606028,0.03,0.031,0.221,1315208,96,0
